日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-02-06,0.66,0.663,0.664,0.654,418676,27619105.0,1.52,0.76,0.005,3.99
2025-02-07,0.664,0.667,0.672,0.66,471880,31459413.0,1.81,0.6,0.004,4.5
2025-02-10,0.668,0.678,0.679,0.666,494644,33275385.0,1.95,1.65,0.011,4.71
2025-02-11,0.678,0.67,0.679,0.665,431084,28825006.0,2.06,-1.18,-0.008,4.11
2025-02-12,0.67,0.672,0.673,0.666,397496,26590313.0,1.04,0.3,0.002,3.79
2025-02-13,0.671,0.676,0.678,0.67,696940,46971476.0,1.19,0.6,0.004,6.64
2025-02-14,0.675,0.67,0.675,0.668,483738,32426124.0,1.04,-0.89,-0.006,4.61
2025-02-17,0.672,0.667,0.673,0.664,556793,37178330.0,1.34,-0.45,-0.003,5.3
2025-02-18,0.667,0.653,0.667,0.65,580932,38226254.0,2.55,-2.1,-0.014,5.53
2025-02-19,0.653,0.656,0.656,0.649,459070,29938112.0,1.07,0.46,0.003,4.37
2025-02-20,0.655,0.655,0.659,0.652,365665,23957154.0,1.07,-0.15,-0.001,3.48
2025-02-21,0.657,0.658,0.659,0.651,495461,32484931.0,1.22,0.46,0.003,4.72
2025-02-24,0.655,0.665,0.665,0.655,501697,33174814.0,1.52,1.06,0.007,4.78
2025-02-25,0.66,0.661,0.669,0.658,499443,33160545.0,1.65,-0.6,-0.004,4.76
2025-02-26,0.661,0.663,0.666,0.657,526668,34768559.0,1.36,0.3,0.002,5.02
2025-02-27,0.664,0.675,0.675,0.661,812074,54488767.0,2.11,1.81,0.012,7.74
2025-02-28,0.674,0.669,0.679,0.667,612658,41268990.0,1.78,-0.89,-0.006,5.84
2025-03-03,0.67,0.668,0.677,0.663,580205,38864726.0,2.09,-0.15,-0.001,5.53
2025-03-04,0.665,0.668,0.668,0.662,585689,38963444.0,0.9,0.0,0.0,5.58
2025-03-05,0.667,0.668,0.669,0.662,436232,29036575.0,1.05,0.0,0.0,4.16
2025-03-06,0.67,0.677,0.677,0.667,676627,45582714.0,1.5,1.35,0.009,6.45
2025-03-07,0.674,0.676,0.68,0.67,452574,30553571.0,1.48,-0.15,-0.001,4.31
2025-03-10,0.674,0.674,0.675,0.67,348887,23453499.0,0.74,-0.3,-0.002,3.32
2025-03-11,0.67,0.681,0.682,0.668,1001176,67519112.0,2.08,1.04,0.007,9.54
2025-03-12,0.682,0.677,0.687,0.675,607019,41239803.0,1.76,-0.59,-0.004,5.78
2025-03-13,0.676,0.675,0.677,0.669,503883,33890822.0,1.18,-0.3,-0.002,4.8
2025-03-14,0.677,0.692,0.693,0.675,986458,67633082.0,2.67,2.52,0.017,9.4
2025-03-17,0.703,0.694,0.703,0.692,949193,66234663.0,1.59,0.29,0.002,9.04
2025-03-18,0.696,0.694,0.697,0.689,579287,40108727.0,1.15,0.0,0.0,5.52
2025-03-19,0.692,0.692,0.696,0.689,449514,31153501.0,1.01,-0.29,-0.002,4.28
2025-03-20,0.691,0.688,0.697,0.686,546371,37777039.0,1.59,-0.58,-0.004,5.21
2025-03-21,0.686,0.686,0.692,0.678,674832,46237222.0,2.03,-0.29,-0.002,6.43
2025-03-24,0.686,0.698,0.701,0.686,1063914,74050524.0,2.19,1.75,0.012,10.14
2025-03-25,0.697,0.706,0.708,0.688,1212580,84554689.0,2.87,1.15,0.008,11.55
2025-03-26,0.703,0.709,0.71,0.697,701664,49409191.0,1.84,0.42,0.003,6.69
2025-03-27,0.708,0.701,0.714,0.699,912122,64202230.0,2.12,-1.13,-0.008,8.69
2025-03-28,0.697,0.688,0.7,0.687,599869,41551119.0,1.85,-1.85,-0.013,5.72
2025-03-31,0.684,0.674,0.689,0.671,622264,42173765.0,2.62,-2.03,-0.014,5.93
2025-04-01,0.673,0.68,0.683,0.672,501330,34067040.0,1.63,0.89,0.006,4.78
2025-04-02,0.679,0.682,0.685,0.676,456670,31106782.0,1.32,0.29,0.002,4.35
2025-04-03,0.679,0.692,0.695,0.676,610422,42081258.0,2.79,1.47,0.01,5.82
2025-04-07,0.665,0.64,0.674,0.629,945291,61786763.0,6.5,-7.51,-0.052,9.01
2025-04-08,0.644,0.668,0.669,0.644,727436,47795714.0,3.91,4.38,0.028,6.93
2025-04-09,0.662,0.705,0.706,0.646,1575471,108112065.0,8.98,5.54,0.037,15.01
2025-04-10,0.703,0.717,0.725,0.692,1784235,127564329.0,4.68,1.7,0.012,17.0
2025-04-11,0.711,0.71,0.719,0.704,972091,69143241.0,2.09,-0.98,-0.007,9.26
2025-04-14,0.712,0.714,0.723,0.707,1642652,117520758.0,2.25,0.56,0.004,15.65
2025-04-15,0.711,0.705,0.713,0.699,624646,44002809.0,1.96,-1.26,-0.009,5.95
2025-04-16,0.704,0.718,0.718,0.7,976641,69566164.0,2.55,1.84,0.013,9.3
2025-04-17,0.715,0.726,0.733,0.708,1010533,73076958.0,3.48,1.11,0.008,9.63
2025-04-18,0.726,0.709,0.726,0.703,842909,59898856.0,3.17,-2.34,-0.017,8.03
2025-04-21,0.699,0.706,0.707,0.697,803436,56484278.0,1.41,-0.42,-0.003,7.65
2025-04-22,0.704,0.699,0.706,0.692,1098869,76654304.0,1.98,-0.99,-0.007,10.47
2025-04-23,0.701,0.69,0.701,0.689,886819,61463378.0,1.72,-1.29,-0.009,8.45
2025-04-24,0.69,0.688,0.695,0.685,623336,42936222.0,1.45,-0.29,-0.002,5.94
2025-04-25,0.688,0.692,0.696,0.683,650087,44948317.0,1.89,0.58,0.004,6.19
2025-04-28,0.697,0.681,0.698,0.679,800502,54711000.0,2.75,-1.59,-0.011,7.63
2025-04-29,0.677,0.677,0.681,0.673,585419,39570057.0,1.17,-0.59,-0.004,5.58
2025-04-30,0.674,0.673,0.676,0.67,700516,47122137.0,0.89,-0.59,-0.004,6.67
2025-05-06,0.676,0.681,0.682,0.672,839631,56875626.0,1.49,1.19,0.008,8.0
2025-05-07,0.683,0.679,0.688,0.676,625731,42608054.0,1.76,-0.29,-0.002,5.96
2025-05-08,0.678,0.678,0.679,0.674,493623,33432708.0,0.74,-0.15,-0.001,4.7
2025-05-09,0.678,0.672,0.678,0.671,426271,28710370.0,1.03,-0.88,-0.006,4.06
2025-05-12,0.675,0.678,0.678,0.67,462664,31244862.0,1.19,0.89,0.006,4.41
2025-05-13,0.679,0.682,0.683,0.677,548111,37307217.0,0.88,0.59,0.004,5.22
2025-05-14,0.68,0.681,0.682,0.674,558203,37820858.0,1.17,-0.15,-0.001,5.32
2025-05-15,0.678,0.676,0.682,0.676,469249,31872739.0,0.88,-0.73,-0.005,4.47
2025-05-16,0.677,0.679,0.68,0.673,420241,28413005.0,1.04,0.44,0.003,4.0
2025-05-19,0.678,0.682,0.683,0.676,402336,27386517.0,1.03,0.44,0.003,3.83
2025-05-20,0.683,0.686,0.687,0.681,531088,36355943.0,0.88,0.59,0.004,5.06
2025-05-21,0.685,0.687,0.688,0.683,468307,32131372.0,0.73,0.15,0.001,4.46
2025-05-22,0.687,0.679,0.687,0.679,447126,30525990.0,1.16,-1.16,-0.008,4.26
2025-05-23,0.681,0.672,0.681,0.671,494006,33490055.0,1.47,-1.03,-0.007,4.71
2025-05-26,0.671,0.68,0.68,0.671,397040,26838488.0,1.34,1.19,0.008,3.78
2025-05-27,0.68,0.681,0.684,0.678,365235,24880923.0,0.88,0.15,0.001,3.48
2025-05-28,0.682,0.682,0.684,0.678,354606,24181658.0,0.88,0.15,0.001,3.38
2025-05-29,0.682,0.684,0.684,0.676,408489,27806570.0,1.17,0.29,0.002,3.89
2025-05-30,0.682,0.678,0.685,0.678,409918,27917503.0,1.02,-0.88,-0.006,3.91
2025-06-03,0.676,0.681,0.682,0.673,398424,27033604.0,1.33,0.44,0.003,3.8
2025-06-04,0.681,0.69,0.691,0.677,860575,58986636.0,2.06,1.32,0.009,8.2
2025-06-05,0.689,0.687,0.692,0.685,482473,33218278.0,1.01,-0.43,-0.003,4.6
2025-06-06,0.685,0.686,0.687,0.682,393618,26932280.0,0.73,-0.15,-0.001,3.75
